seq,t_offset_s,query_type,params,status,source,latency_ms,error
1,0.36680677799995465,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,scraper,6695.33192200015,
2,0.6329126110003926,Q5,{},200,cache,19.134064999889233,
3,0.9286939570001778,Q2,"{""team"": ""limache""}",200,scraper,4662.126949000594,
4,1.2976551250003467,Q5,{},200,cache,4.390834999867366,
5,1.97291743400001,Q4,"{""date_from"": ""2026-05-10"", ""date_to"": ""2026-05-16""}",200,scraper,8348.697833999722,
6,2.6707318090002445,Q1,"{""team"": ""huachipato""}",200,scraper,6163.4297430000515,
7,3.1259100329998546,Q1,"{""team"": ""coquimbo""}",200,cache,5.3640180003640126,
8,3.4377824100001817,Q2,"{""team"": ""udechile""}",200,scraper,8678.197255000669,
9,5.305364298999848,Q3,"{""team_a"": ""audax"", ""team_b"": ""cobresal""}",200,scraper,7853.6476970002695,
10,5.365088841000215,Q4,"{""date_from"": ""2026-05-10"", ""date_to"": ""2026-05-16""}",200,scraper,10187.038754999776,
11,5.7472410270002,Q2,"{""team"": ""palestino""}",200,scraper,11140.792911000062,
12,6.4009400390004885,Q3,"{""team_a"": ""palestino"", ""team_b"": ""ucatolica""}",200,scraper,11060.240378000344,
13,6.837814768000499,Q5,{},200,cache,4.801142000360414,
14,6.892868541000098,Q5,{},200,cache,4.129667000597692,
15,7.006293817000369,Q1,"{""team"": ""huachipato""}",200,scraper,10616.449627999827,
16,7.343918790000316,Q2,"{""team"": ""limache""}",200,cache,6.76028399993811,
17,7.8715507140004775,Q2,"{""team"": ""laserena""}",200,scraper,12646.192576999965,
18,8.141752890000134,Q1,"{""team"": ""ulacalera""}",200,scraper,12157.320545999937,
19,8.290670250999938,Q1,"{""team"": ""ohiggins""}",200,cache,5.270368000310555,
20,8.564430952999828,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,scraper,15482.702424000308,
21,9.462749062000512,Q5,{},200,cache,3.8981099996817647,
22,10.047698827000204,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""huachipato""}",200,scraper,15288.130279000143,
23,10.224911678999888,Q2,"{""team"": ""ucatolica""}",200,scraper,15745.299543000328,
24,10.457954499000152,Q5,{},200,cache,3.969975000472914,
25,10.627296278000358,Q4,"{""date_from"": ""2026-06-21"", ""date_to"": ""2026-06-27""}",200,scraper,18620.277179999903,
26,12.404547213999649,Q3,"{""team_a"": ""audax"", ""team_b"": ""palestino""}",200,scraper,16362.838635999651,
27,12.69564141400042,Q1,"{""team"": ""audax""}",200,scraper,16402.53027700055,
28,12.731000482999661,Q5,{},200,cache,4.908793999675254,
29,13.071342926999932,Q5,{},200,cache,3.57728600010887,
30,13.087146871999721,Q5,{},200,cache,4.13303899949824,
31,14.478565293000429,Q5,{},200,cache,4.4861510004921,
32,14.884329192999758,Q2,"{""team"": ""palestino""}",200,scraper,18674.166576999596,
33,15.061598567999681,Q4,"{""date_from"": ""2026-06-21"", ""date_to"": ""2026-06-27""}",200,scraper,21602.659709000363,
34,15.521895650999795,Q1,"{""team"": ""ohiggins""}",200,cache,4.37336699997104,
35,16.021810971000377,Q2,"{""team"": ""everton""}",200,scraper,19002.741954999692,
36,16.08698689100038,Q5,{},200,cache,4.224960999636096,
37,16.170553695000308,Q4,"{""date_from"": ""2026-08-23"", ""date_to"": ""2026-08-29""}",200,scraper,24675.162986000032,
38,16.297671012999672,Q4,"{""date_from"": ""2026-08-02"", ""date_to"": ""2026-08-08""}",200,scraper,25525.31272700071,
39,17.32878714399976,Q3,"{""team_a"": ""coquimbo"", ""team_b"": ""nublense""}",200,scraper,28577.118215000155,
40,17.59949857399988,Q1,"{""team"": ""ulacalera""}",200,scraper,26265.706778000094,
41,17.81615673000033,Q2,"{""team"": ""audax""}",200,scraper,27919.37366000002,
42,17.90494203199978,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,scraper,31300.70568100018,
43,19.049684810000144,Q2,"{""team"": ""colocolo""}",200,scraper,31913.76092000064,
44,19.768209955000202,Q5,{},200,cache,4.670727000302577,
45,20.127452961000017,Q2,"{""team"": ""coquimbo""}",200,scraper,30541.92146800051,
46,21.030186644000423,Q2,"{""team"": ""laserena""}",200,cache,4.262855999513704,
47,21.057739973000025,Q2,"{""team"": ""cobresal""}",200,scraper,31960.825082000156,
48,22.641030888000387,Q2,"{""team"": ""palestino""}",200,cache,3.9872840006864863,
49,24.392699343999993,Q1,"{""team"": ""limache""}",200,cache,4.20919599946501,
50,24.84157649000008,Q2,"{""team"": ""everton""}",200,scraper,29126.923445000102,
51,25.63229101700017,Q5,{},200,cache,4.486759999963397,
52,26.00257891199999,Q2,"{""team"": ""ulacalera""}",200,scraper,29003.723023999555,
53,26.20762795599967,Q2,"{""team"": ""limache""}",200,cache,4.611190999639803,
54,26.267612347000068,Q3,"{""team_a"": ""udechile"", ""team_b"": ""ulacalera""}",200,cache,3.8345599996318924,
55,26.39477794100003,Q5,{},200,cache,4.982155000107014,
56,26.686294584999814,Q5,{},200,cache,4.577290999804973,
57,27.20113631300046,Q1,"{""team"": ""nublense""}",200,cache,4.261637000126939,
58,27.243646771000385,Q5,{},200,cache,4.6676550000483985,
59,28.253581713999665,Q2,"{""team"": ""coquimbo""}",200,scraper,25822.95200199951,
60,28.518758739000077,Q2,"{""team"": ""palestino""}",200,cache,4.753082999741309,
61,30.572068397000294,Q3,"{""team_a"": ""nublense"", ""team_b"": ""ohiggins""}",200,scraper,28306.174781000664,
62,32.71072927899968,Q5,{},200,cache,5.570784999690659,
63,33.17077058399991,Q1,"{""team"": ""udeconce""}",200,cache,4.715415000646317,
64,33.757966807999765,Q4,"{""date_from"": ""2026-05-10"", ""date_to"": ""2026-05-16""}",200,cache,4.508422000071732,
65,33.9528715739998,Q5,{},200,cache,3.9484569997512153,
66,34.102168006000284,Q5,{},200,cache,4.08297399917501,
67,34.68506515199988,Q2,"{""team"": ""ucatolica""}",200,cache,4.796965999958047,
68,34.73881815000004,Q2,"{""team"": ""palestino""}",200,cache,5.428045999906317,
69,35.302085201999944,Q1,"{""team"": ""everton""}",200,cache,3.239363999455236,
70,35.596789440000066,Q5,{},200,cache,3.251422999710485,
71,35.95562070100004,Q5,{},200,cache,4.203178999887314,
72,36.02811590800047,Q3,"{""team_a"": ""palestino"", ""team_b"": ""udechile""}",200,cache,4.092842999853019,
73,36.486738362000324,Q5,{},200,cache,4.679730000134441,
74,36.92868560399984,Q2,"{""team"": ""depconce""}",200,scraper,23100.17132200028,
75,37.502050195000265,Q1,"{""team"": ""nublense""}",200,cache,4.187694000393094,
76,39.52273392300049,Q3,"{""team_a"": ""laserena"", ""team_b"": ""ucatolica""}",200,scraper,19972.796747999382,
77,40.38843631800046,Q5,{},200,cache,3.268784000283631,
78,40.66121523299989,Q5,{},200,cache,3.6842349991275114,
79,40.715138962999845,Q3,"{""team_a"": ""huachipato"", ""team_b"": ""limache""}",200,cache,3.090359999987413,
80,41.02112965500055,Q1,"{""team"": ""ohiggins""}",200,cache,3.756897000130266,
81,42.660727235000195,Q5,{},200,cache,4.357897999398119,
82,42.84147188299994,Q5,{},200,cache,3.8940999993428704,
